Date;ALV_High;ALV_Low;Last;Previous Day Price;ALV_Volume;GOOGL_Open;GOOGL_High;GOOGL_Low;GOOGL_Close;GOOGL_Volume;Ex-Dividend_x;Split Ratio_x;Adj. Open_x;Adj. High_x;Adj. Low_x;Adj. Close_x;Adj. Volume_x;FB_Open;FB_High;FB_Low;FB_Close;FB_Volume;Ex-Dividend_y;Split Ratio_y;Adj. Open_y;Adj. High_y;Adj. Low_y;Adj. Close_y;Adj. Volume_y;MSCI_Open;MSCI_High;MSCI_Low;Settle;MSCI_Volume;Prev. Day Open Interest;year;month;weekday
2017-01-10;2.71;2.635;2.71;2.647;2500.0;807.86;809.1299;803.51;804.79;1176780.0;0.0;1.0;807.86;809.1299;803.51;804.79;1176780.0;124.82;125.5;124.28;124.35;17324590.0;0.0;1.0;124.82;125.5;124.28;124.35;17324590.0;0.0;0.0;0.0;4940.0;0.0;0.0;2017;1;1
2017-01-11;2.724;2.68;2.691;2.71;0.0;805.0;808.15;801.37;807.91;1065936.0;0.0;1.0;805.0;808.15;801.37;807.91;1065936.0;124.35;126.12;124.06;126.09;18356523.0;0.0;1.0;124.35;126.12;124.06;126.09;18356523.0;0.0;0.0;0.0;4922.0;0.0;0.0;2017;1;2
2017-01-12;2.707;2.684;2.684;2.691;0.0;807.14;807.39;799.17;806.36;1353057.0;0.0;1.0;807.14;807.39;799.17;806.36;1353057.0;125.61;126.73;124.8;126.62;18653914.0;0.0;1.0;125.61;126.73;124.8;126.62;18653914.0;0.0;0.0;0.0;4924.0;0.0;0.0;2017;1;3
2017-01-13;2.653;2.653;2.653;2.684;0.0;807.48;811.2244;806.69;807.88;1099215.0;0.0;1.0;807.48;811.2244;806.69;807.88;1099215.0;127.49;129.27;127.37;128.34;24884325.0;0.0;1.0;127.49;129.27;127.37;128.34;24884325.0;0.0;0.0;0.0;4958.0;0.0;0.0;2017;1;4
2017-01-17;2.713;2.602;2.69;2.628;0.0;807.08;807.14;800.37;804.61;1362115.0;0.0;1.0;807.08;807.14;800.37;804.61;1362115.0;128.04;128.34;127.4;127.87;15294460.0;0.0;1.0;128.04;128.34;127.4;127.87;15294460.0;0.0;0.0;0.0;4942.0;0.0;0.0;2017;1;1
2017-01-18;2.673;2.608;2.608;2.69;1000.0;805.81;806.205;800.99;806.07;1294407.0;0.0;1.0;805.81;806.205;800.99;806.07;1294407.0;128.41;128.43;126.84;127.92;13145852.0;0.0;1.0;128.41;128.43;126.84;127.92;13145852.0;0.0;0.0;0.0;4944.0;0.0;0.0;2017;1;2
2017-01-19;2.67;2.623;2.643;2.608;0.0;805.12;809.48;801.8;802.175;919325.0;0.0;1.0;805.12;809.48;801.8;802.175;919325.0;128.23;128.35;127.45;127.55;12195465.0;0.0;1.0;128.23;128.35;127.45;127.55;12195465.0;0.0;0.0;0.0;4930.0;0.0;0.0;2017;1;3
2017-01-20;2.643;2.603;2.603;2.643;750.0;806.91;806.91;801.69;805.02;1670045.0;0.0;1.0;806.91;806.91;801.69;805.02;1670045.0;128.1;128.48;126.78;127.04;19097223.0;0.0;1.0;128.1;128.48;126.78;127.04;19097223.0;0.0;0.0;0.0;4943.0;0.0;0.0;2017;1;4
2017-01-23;2.609;2.571;2.609;2.603;5000.0;807.25;820.87;803.74;819.31;1963628.0;0.0;1.0;807.25;820.87;803.74;819.31;1963628.0;127.31;129.25;126.95;128.93;16593563.0;0.0;1.0;127.31;129.25;126.95;128.93;16593563.0;0.0;0.0;0.0;4927.0;0.0;0.0;2017;1;0
2017-01-24;2.656;2.606;2.642;2.609;740.0;822.3;825.9;817.821;823.87;1474010.0;0.0;1.0;822.3;825.9;817.821;823.87;1474010.0;129.38;129.9;128.38;129.37;15162724.0;0.0;1.0;129.38;129.9;128.38;129.37;15162724.0;0.0;0.0;0.0;4949.0;0.0;0.0;2017;1;1
