Date;ALV_High;ALV_Low;Last;Previous Day Price;ALV_Volume;GOOGL_Open;GOOGL_High;GOOGL_Low;GOOGL_Close;GOOGL_Volume;Ex-Dividend_x;Split Ratio_x;Adj. Open_x;Adj. High_x;Adj. Low_x;Adj. Close_x;Adj. Volume_x;FB_Open;FB_High;FB_Low;FB_Close;FB_Volume;Ex-Dividend_y;Split Ratio_y;Adj. Open_y;Adj. High_y;Adj. Low_y;Adj. Close_y;Adj. Volume_y;MSCI_Open;MSCI_High;MSCI_Low;Settle;MSCI_Volume;Prev. Day Open Interest;year;month;weekday
2012-08-10;;;;;;;;;;;;;;;;;;21.41;21.82;21.13;21.807;25794700.0;0.0;1.0;21.41;21.82;21.13;21.807;25794700.0;;;;;;;2012;8;4
2012-08-13;;;;;;;;;;;;;;;;;;22.15;22.45;21.4;21.6;24973100.0;0.0;1.0;22.15;22.45;21.4;21.6;24973100.0;;;;;;;2012;8;0
2012-08-14;;;;;;;;;;;;;;;;;;21.41;21.6;20.25;20.38;39308800.0;0.0;1.0;21.41;21.6;20.25;20.38;39308800.0;;;;;;;2012;8;1
2012-08-15;;;;;;;;;;;;;;;;;;20.64;21.41;20.4;21.2;47861100.0;0.0;1.0;20.64;21.41;20.4;21.2;47861100.0;;;;;;;2012;8;2
2012-08-16;;;;;;;;;;;;;;;;;;20.44;20.48;19.69;19.87;157565300.0;0.0;1.0;20.44;20.48;19.69;19.87;157565300.0;;;;;;;2012;8;3
2012-08-17;;;;;;;;;;;;;;;;;;20.005;20.08;19.0;19.05;129293400.0;0.0;1.0;20.005;20.08;19.0;19.05;129293400.0;;;;;;;2012;8;4
2012-08-20;;;;;;;;;;;;;;;;;;19.05;20.13;18.75;20.011;101186600.0;0.0;1.0;19.05;20.13;18.75;20.011;101186600.0;;;;;;;2012;8;0
2012-08-21;;;;;;;;;;;;;;;;;;19.58;19.98;19.09;19.159;70640600.0;0.0;1.0;19.58;19.98;19.09;19.159;70640600.0;;;;;;;2012;8;1
2012-08-22;;;;;;;;;;;;;;;;;;19.36;19.53;18.96;19.439;49892200.0;0.0;1.0;19.36;19.53;18.96;19.439;49892200.0;;;;;;;2012;8;2
2012-08-23;;;;;;;;;;;;;;;;;;19.5;19.73;19.36;19.44;32813700.0;0.0;1.0;19.5;19.73;19.36;19.44;32813700.0;;;;;;;2012;8;3
2012-08-24;;;;;;;;;;;;;;;;;;19.52;19.68;19.25;19.409;29622200.0;0.0;1.0;19.52;19.68;19.25;19.409;29622200.0;;;;;;;2012;8;4
2012-08-27;;;;;;;;;;;;;;;;;;19.49;19.53;19.1;19.15;20704000.0;0.0;1.0;19.49;19.53;19.1;19.15;20704000.0;;;;;;;2012;8;0
2012-08-28;;;;;;;;;;;;;;;;;;19.1;19.38;18.95;19.34;25417000.0;0.0;1.0;19.1;19.38;18.95;19.34;25417000.0;;;;;;;2012;8;1
2012-08-29;;;;;;;;;;;;;;;;;;19.32;19.38;19.07;19.1;16124700.0;0.0;1.0;19.32;19.38;19.07;19.1;16124700.0;;;;;;;2012;8;2
2012-08-30;;;;;;;;;;;;;;;;;;19.27;19.45;19.06;19.0885;30647500.0;0.0;1.0;19.27;19.45;19.06;19.0885;30647500.0;;;;;;;2012;8;3
2012-08-31;;;;;;;;;;;;;;;;;;18.68;18.7;18.03;18.058;58764200.0;0.0;1.0;18.68;18.7;18.03;18.058;58764200.0;;;;;;;2012;8;4
2012-09-04;;;;;;;;;;;;;;;;;;18.08;18.27;17.55;17.729;46622400.0;0.0;1.0;18.08;18.27;17.55;17.729;46622400.0;;;;;;;2012;9;1
2012-09-05;;;;;;;;;;;;;;;;;;18.27;18.75;18.18;18.58;60781800.0;0.0;1.0;18.27;18.75;18.18;18.58;60781800.0;;;;;;;2012;9;2
2012-09-06;;;;;;;;;;;;;;;;;;18.74;19.2617;18.72;18.96;46066500.0;0.0;1.0;18.74;19.2617;18.72;18.96;46066500.0;;;;;;;2012;9;3
2012-09-07;;;;;;;;;;;;;;;;;;19.1;19.42;18.78;18.98;36371700.0;0.0;1.0;19.1;19.42;18.78;18.98;36371700.0;;;;;;;2012;9;4
2012-09-10;;;;;;;;;;;;;;;;;;19.06;19.2;18.55;18.81;24797800.0;0.0;1.0;19.06;19.2;18.55;18.81;24797800.0;;;;;;;2012;9;0
2012-09-11;;;;;;;;;;;;;;;;;;18.92;19.581;18.85;19.43;50508200.0;0.0;1.0;18.92;19.581;18.85;19.43;50508200.0;;;;;;;2012;9;1
2012-09-12;;;;;;;;;;;;;;;;;;20.76;21.16;20.28;20.931;121584000.0;0.0;1.0;20.76;21.16;20.28;20.931;121584000.0;;;;;;;2012;9;2
2012-09-13;;;;;;;;;;;;;;;;;;20.955;21.48;20.61;20.713;65041600.0;0.0;1.0;20.955;21.48;20.61;20.713;65041600.0;;;;;;;2012;9;3
2012-09-14;;;;;;;;;;;;;;;;;;21.13;22.08;20.9;22.0;72819800.0;0.0;1.0;21.13;22.08;20.9;22.0;72819800.0;;;;;;;2012;9;4
2012-09-17;;;;;;;;;;;;;;;;;;22.67;22.75;21.5;21.52;50667600.0;0.0;1.0;22.67;22.75;21.5;21.52;50667600.0;;;;;;;2012;9;0
2012-09-18;;;;;;;;;;;;;;;;;;21.6;21.98;21.37;21.87;36760500.0;0.0;1.0;21.6;21.98;21.37;21.87;36760500.0;;;;;;;2012;9;1
2012-09-19;;;;;;;;;;;;;;;;;;21.99;23.37;21.77;23.29;78782800.0;0.0;1.0;21.99;23.37;21.77;23.29;78782800.0;;;;;;;2012;9;2
2012-09-20;;;;;;;;;;;;;;;;;;23.02;23.24;22.54;22.59;57248900.0;0.0;1.0;23.02;23.24;22.54;22.59;57248900.0;;;;;;;2012;9;3
2012-09-21;;;;;;;;;;;;;;;;;;22.97;23.24;22.6;22.86;51218100.0;0.0;1.0;22.97;23.24;22.6;22.86;51218100.0;;;;;;;2012;9;4
2012-09-24;;;;;;;;;;;;;;;;;;21.78;21.98;20.3625;20.79;79106500.0;0.0;1.0;21.78;21.98;20.3625;20.79;79106500.0;;;;;;;2012;9;0
2012-09-25;;;;;;;;;;;;;;;;;;21.2;21.21;20.22;20.28;46291700.0;0.0;1.0;21.2;21.21;20.22;20.28;46291700.0;;;;;;;2012;9;1
2012-09-26;;;;;;;;;;;;;;;;;;20.145;20.78;19.8;20.62;38271900.0;0.0;1.0;20.145;20.78;19.8;20.62;38271900.0;;;;;;;2012;9;2
2012-09-27;;;;;;;;;;;;;;;;;;20.99;21.0;20.16;20.32;30215900.0;0.0;1.0;20.99;21.0;20.16;20.32;30215900.0;;;;;;;2012;9;3
2012-09-28;;;;;;;;;;;;;;;;;;20.57;21.95;20.5;21.66;65486000.0;0.0;1.0;20.57;21.95;20.5;21.66;65486000.0;;;;;;;2012;9;4
2012-10-01;;;;;;;;;;;;;;;;;;22.08;22.59;21.73;21.99;51262700.0;0.0;1.0;22.08;22.59;21.73;21.99;51262700.0;;;;;;;2012;10;0
2012-10-02;;;;;;;;;;;;;;;;;;22.08;22.49;21.82;22.27;29341400.0;0.0;1.0;22.08;22.49;21.82;22.27;29341400.0;;;;;;;2012;10;1
2012-10-03;;;;;;;;;;;;;;;;;;22.295;22.49;21.8;21.83;32000100.0;0.0;1.0;22.295;22.49;21.8;21.83;32000100.0;;;;;;;2012;10;2
2012-10-04;;;;;;;;;;;;;;;;;;22.32;22.4;21.41;21.9475;46892100.0;0.0;1.0;22.32;22.4;21.41;21.9475;46892100.0;;;;;;;2012;10;3
2012-10-05;;;;;;;;;;;;;;;;;;21.49;21.63;20.88;20.91;40529300.0;0.0;1.0;21.49;21.63;20.88;20.91;40529300.0;;;;;;;2012;10;4
2012-10-08;;;;;;;;;;;;;;;;;;20.4;20.75;20.155;20.4;32236700.0;0.0;1.0;20.4;20.75;20.155;20.4;32236700.0;;;;;;;2012;10;0
2012-10-09;;;;;;;;;;;;;;;;;;20.39;20.55;19.97;20.227;27161800.0;0.0;1.0;20.39;20.55;19.97;20.227;27161800.0;;;;;;;2012;10;1
2012-10-10;;;;;;;;;;;;;;;;;;19.93;19.94;19.45;19.64;39321800.0;0.0;1.0;19.93;19.94;19.45;19.64;39321800.0;;;;;;;2012;10;2
2012-10-11;;;;;;;;;;;;;;;;;;19.88;19.96;19.61;19.75;21817300.0;0.0;1.0;19.88;19.96;19.61;19.75;21817300.0;;;;;;;2012;10;3
2012-10-12;;;;;;;;;;;;;;;;;;19.75;19.8;19.48;19.5181;18809400.0;0.0;1.0;19.75;19.8;19.48;19.5181;18809400.0;;;;;;;2012;10;4
2012-10-15;;;;;;;;;;;;;;;;;;19.68;19.88;19.49;19.52;20189700.0;0.0;1.0;19.68;19.88;19.49;19.52;20189700.0;;;;;;;2012;10;0
2012-10-16;;;;;;;;;;;;;;;;;;19.68;19.69;19.3;19.48;21834700.0;0.0;1.0;19.68;19.69;19.3;19.48;21834700.0;;;;;;;2012;10;1
2012-10-17;;;;;;;;;;;;;;;;;;19.5;20.48;19.3718;19.88;44074500.0;0.0;1.0;19.5;20.48;19.3718;19.88;44074500.0;;;;;;;2012;10;2
2012-10-18;;;;;;;;;;;;;;;;;;19.7;19.79;18.89;18.975;52157400.0;0.0;1.0;19.7;19.79;18.89;18.975;52157400.0;;;;;;;2012;10;3
2012-10-19;;;;;;;;;;;;;;;;;;19.0;19.06;18.8;19.0;34835000.0;0.0;1.0;19.0;19.06;18.8;19.0;34835000.0;;;;;;;2012;10;4
2012-10-22;;;;;;;;;;;;;;;;;;19.25;19.43;19.05;19.321;32447300.0;0.0;1.0;19.25;19.43;19.05;19.321;32447300.0;;;;;;;2012;10;0
2012-10-23;;;;;;;;;;;;;;;;;;19.25;19.8;19.1;19.5;78381200.0;0.0;1.0;19.25;19.8;19.1;19.5;78381200.0;;;;;;;2012;10;1
2012-10-24;;;;;;;;;;;;;;;;;;24.13;24.25;22.85;23.2299;228949900.0;0.0;1.0;24.13;24.25;22.85;23.2299;228949900.0;;;;;;;2012;10;2
2012-10-25;;;;;;;;;;;;;;;;;;23.29;23.31;22.47;22.56;76142000.0;0.0;1.0;23.29;23.31;22.47;22.56;76142000.0;;;;;;;2012;10;3
2012-10-26;;;;;;;;;;;;;;;;;;22.4;22.88;21.88;21.9425;73175800.0;0.0;1.0;22.4;22.88;21.88;21.9425;73175800.0;;;;;;;2012;10;4
2012-10-31;;;;;;;;;;;;;;;;;;20.82;21.5;20.73;21.11;99378200.0;0.0;1.0;20.82;21.5;20.73;21.11;99378200.0;;;;;;;2012;10;2
2012-11-01;;;;;;;;;;;;;;;;;;21.08;21.44;21.01;21.21;37713900.0;0.0;1.0;21.08;21.44;21.01;21.21;37713900.0;;;;;;;2012;11;3
2012-11-02;;;;;;;;;;;;;;;;;;21.26;21.69;21.07;21.18;38344400.0;0.0;1.0;21.26;21.69;21.07;21.18;38344400.0;;;;;;;2012;11;4
2012-11-05;;;;;;;;;;;;;;;;;;21.1;21.48;20.92;21.25;31806700.0;0.0;1.0;21.1;21.48;20.92;21.25;31806700.0;;;;;;;2012;11;0
